I,V,R,P,mAh,wh,time,
0.0989,4.2112,42.5853,0.4164,0.1601,0.0007,   0: 0: 5,
0.0990,4.2108,42.5329,0.4169,0.2700,0.0011,   0: 0: 9,
0.0990,4.2104,42.5151,0.4170,0.3938,0.0017,   0: 0:14,
0.0990,4.2101,42.5390,0.4167,0.5176,0.0022,   0: 0:18,
0.0990,4.2097,42.5254,0.4167,0.6416,0.0027,   0: 0:23,
0.0991,4.2094,42.4913,0.4170,0.7654,0.0032,   0: 0:27,
0.0990,4.2091,42.5121,0.4167,0.8899,0.0037,   0: 0:32,
0.0991,4.2088,42.4713,0.4171,1.0139,0.0043,   0: 0:36,
0.0991,4.2085,42.4750,0.4170,1.1379,0.0048,   0: 0:41,
0.0991,4.2082,42.4756,0.4169,1.2628,0.0053,   0: 0:45,
0.0991,4.2079,42.4693,0.4169,1.3869,0.0058,   0: 0:50,
0.0990,4.2077,42.4941,0.4166,1.5109,0.0064,   0: 0:54,
0.0993,4.2074,42.3781,0.4177,1.6350,0.0069,   0: 0:59,
0.0993,4.2071,42.3688,0.4178,1.7590,0.0074,   0: 1: 3,
0.0989,4.2069,42.5204,0.4162,1.8835,0.0079,   0: 1: 8,
0.0991,4.2066,42.4558,0.4168,2.0076,0.0084,   0: 1:12,
0.0992,4.2063,42.4051,0.4172,2.1316,0.0090,   0: 1:17,
0.0991,4.2061,42.4402,0.4168,2.2557,0.0095,   0: 1:21,
0.0991,4.2058,42.4275,0.4169,2.3799,0.0100,   0: 1:26,
0.0992,4.2056,42.4010,0.4171,2.5039,0.0105,   0: 1:30,
0.0992,4.2053,42.3916,0.4172,2.6286,0.0111,   0: 1:35,
0.0992,4.2051,42.3993,0.4170,2.7537,0.0116,   0: 1:40,
0.0993,4.2048,42.3248,0.4177,2.8779,0.0121,   0: 1:44,
0.0994,4.2046,42.3089,0.4178,3.0027,0.0126,   0: 1:49,
0.0993,4.2043,42.3372,0.4175,3.1276,0.0132,   0: 1:53,
0.0992,4.2041,42.3655,0.4172,3.2518,0.0137,   0: 1:58,
0.0994,4.2038,42.3015,0.4178,3.3766,0.0142,   0: 2: 2,
0.0993,4.2036,42.3434,0.4173,3.5014,0.0147,   0: 2: 7,
0.0994,4.2034,42.3069,0.4176,3.6257,0.0153,   0: 2:11,
0.0993,4.2031,42.3286,0.4174,3.7500,0.0158,   0: 2:16,
0.0993,4.2029,42.3399,0.4172,3.8744,0.0163,   0: 2:20,
0.0993,4.2027,42.3137,0.4174,3.9986,0.0168,   0: 2:25,
0.0993,4.2024,42.3318,0.4172,4.1228,0.0173,   0: 2:29,
0.0993,4.2022,42.3226,0.4172,4.2470,0.0179,   0: 2:34,
0.0993,4.2020,42.3100,0.4173,4.3712,0.0184,   0: 2:38,
0.0993,4.2018,42.3010,0.4174,4.4955,0.0189,   0: 2:43,
0.0993,4.2015,42.3020,0.4173,4.6203,0.0194,   0: 2:47,
0.0993,4.2013,42.3104,0.4172,4.7445,0.0200,   0: 2:52,
0.0994,4.2011,42.2604,0.4176,4.8689,0.0205,   0: 2:56,
0.0992,4.2009,42.3366,0.4168,4.9932,0.0210,   0: 3: 1,
0.0993,4.2006,42.3137,0.4170,5.1184,0.0215,   0: 3: 5,
0.0993,4.2004,42.2879,0.4172,5.2432,0.0221,   0: 3:10,
0.0994,4.2002,42.2686,0.4174,5.3674,0.0226,   0: 3:14,
0.0994,4.2000,42.2359,0.4177,5.4923,0.0231,   0: 3:19,
0.0994,4.1998,42.2610,0.4174,5.6166,0.0236,   0: 3:23,
0.0994,4.1996,42.2656,0.4173,5.7409,0.0241,   0: 3:28,
