I,V,R,P,mAh,wh,time,Unnamed: 7,SOC
0.0989,4.2112,42.5853,0.4164,0.1601,0.0007,   0: 0: 5,,100.0
0.099,4.2108,42.5329,0.4169,0.27,0.0011,   0: 0: 9,,99.99576479705846
0.099,4.2104,42.5151,0.417,0.3938,0.0017,   0: 0:14,,99.99152959411691
0.099,4.2101,42.539,0.4167,0.5176,0.0022,   0: 0:18,,99.98729439117537
0.099,4.2097,42.5254,0.4167,0.6416,0.0027,   0: 0:23,,99.98305918823382
0.0991,4.2094,42.4913,0.417,0.7654,0.0032,   0: 0:27,,99.97881970730951
0.099,4.2091,42.5121,0.4167,0.8899,0.0037,   0: 0:32,,99.97458450436797
0.0991,4.2088,42.4713,0.4171,1.0139,0.0043,   0: 0:36,,99.97034502344366
0.0991,4.2085,42.475,0.417,1.1379,0.0048,   0: 0:41,,99.96610554251934
0.0991,4.2082,42.4756,0.4169,1.2628,0.0053,   0: 0:45,,99.96186606159503
0.0991,4.2079,42.4693,0.4169,1.3869,0.0058,   0: 0:50,,99.95762658067072
0.099,4.2077,42.4941,0.4166,1.5109,0.0064,   0: 0:54,,99.95339137772919
0.0993,4.2074,42.3781,0.4177,1.635,0.0069,   0: 0:59,,99.94914334083931
0.0993,4.2071,42.3688,0.4178,1.759,0.0074,   0: 1: 3,,99.94489530394947
0.0989,4.2069,42.5204,0.4162,1.8835,0.0079,   0: 1: 8,,99.94066437899069
0.0991,4.2066,42.4558,0.4168,2.0076,0.0084,   0: 1:12,,99.93642489806639
0.0992,4.2063,42.4051,0.4172,2.1316,0.009,   0: 1:17,,99.9321811391593
0.0991,4.2061,42.4402,0.4168,2.2557,0.0095,   0: 1:21,,99.92794165823497
0.0991,4.2058,42.4275,0.4169,2.3799,0.01,   0: 1:26,,99.92370217731067
0.0992,4.2056,42.401,0.4171,2.5039,0.0105,   0: 1:30,,99.9194584184036
0.0992,4.2053,42.3916,0.4172,2.6286,0.0111,   0: 1:35,,99.91521465949651
0.0992,4.2051,42.3993,0.417,2.7537,0.0116,   0: 1:40,,99.91097090058942
0.0993,4.2048,42.3248,0.4177,2.8779,0.0121,   0: 1:44,,99.90672286369957
0.0994,4.2046,42.3089,0.4178,3.0027,0.0126,   0: 1:49,,99.90247054882695
0.0993,4.2043,42.3372,0.4175,3.1276,0.0132,   0: 1:53,,99.8982225119371
0.0992,4.2041,42.3655,0.4172,3.2518,0.0137,   0: 1:58,,99.89397875303003
0.0994,4.2038,42.3015,0.4178,3.3766,0.0142,   0: 2: 2,,99.8897264381574
0.0993,4.2036,42.3434,0.4173,3.5014,0.0147,   0: 2: 7,,99.88547840126755
0.0994,4.2034,42.3069,0.4176,3.6257,0.0153,   0: 2:11,,99.88122608639493
0.0993,4.2031,42.3286,0.4174,3.75,0.0158,   0: 2:16,,99.87697804950507
0.0993,4.2029,42.3399,0.4172,3.8744,0.0163,   0: 2:20,,99.87273001261524
0.0993,4.2027,42.3137,0.4174,3.9986,0.0168,   0: 2:25,,99.86848197572537
0.0993,4.2024,42.3318,0.4172,4.1228,0.0173,   0: 2:29,,99.86423393883553
0.0993,4.2022,42.3226,0.4172,4.247,0.0179,   0: 2:34,,99.85998590194568
0.0993,4.202,42.31,0.4173,4.3712,0.0184,   0: 2:38,,99.85573786505581
0.0993,4.2018,42.301,0.4174,4.4955,0.0189,   0: 2:43,,99.85148982816597
0.0993,4.2015,42.302,0.4173,4.6203,0.0194,   0: 2:47,,99.84724179127612
0.0993,4.2013,42.3104,0.4172,4.7445,0.02,   0: 2:52,,99.84299375438627
0.0994,4.2011,42.2604,0.4176,4.8689,0.0205,   0: 2:56,,99.83874143951364
0.0992,4.2009,42.3366,0.4168,4.9932,0.021,   0: 3: 1,,99.83449768060657
0.0993,4.2006,42.3137,0.417,5.1184,0.0215,   0: 3: 5,,99.83024964371671
0.0993,4.2004,42.2879,0.4172,5.2432,0.0221,   0: 3:10,,99.82600160682686
0.0994,4.2002,42.2686,0.4174,5.3674,0.0226,   0: 3:14,,99.82174929195425
0.0994,4.2,42.2359,0.4177,5.4923,0.0231,   0: 3:19,,99.81749697708162
0.0994,4.1998,42.261,0.4174,5.6166,0.0236,   0: 3:23,,99.81324466220902
0.0994,4.1996,42.2656,0.4173,5.7409,0.0241,   0: 3:28,,99.80899234733639
0.0994,4.1994,42.2393,0.4175,5.8658,0.0247,   0: 3:32,,99.80474003246377
0.0994,4.1992,42.241,0.4174,5.9907,0.0252,   0: 3:37,,99.80048771759114
0.0995,4.1989,42.1978,0.4178,6.1152,0.0257,   0: 3:41,,99.79623112473574
0.0994,4.1988,42.2608,0.4172,6.2397,0.0262,   0: 3:46,,99.79197880986314
0.0995,4.1985,42.197,0.4177,6.364,0.0268,   0: 3:50,,99.78772221700774
0.0993,4.1983,42.2596,0.4171,6.489,0.0273,   0: 3:55,,99.78347418011789
0.0995,4.1981,42.2133,0.4175,6.6134,0.0278,   0: 3:59,,99.77921758726251
0.0994,4.1979,42.2421,0.4172,6.7378,0.0283,   0: 4: 4,,99.77496527238986
0.0994,4.1977,42.2163,0.4174,6.8627,0.0289,   0: 4: 8,,99.77071295751726
0.0994,4.1975,42.2308,0.4172,6.9876,0.0294,   0: 4:13,,99.76646064264463
0.0993,4.1973,42.2699,0.4168,7.112,0.0299,   0: 4:17,,99.76221260575478
0.0994,4.1971,42.2202,0.4172,7.2368,0.0304,   0: 4:22,,99.75796029088215
0.0994,4.1969,42.2117,0.4173,7.3612,0.0309,   0: 4:27,,99.75370797600954
0.0993,4.1967,42.2435,0.4169,7.4865,0.0315,   0: 4:31,,99.74945993911969
0.0993,4.1965,42.2414,0.4169,7.6114,0.032,   0: 4:36,,99.74521190222984
0.0995,4.1963,42.1782,0.4175,7.7358,0.0325,   0: 4:40,,99.74095530937446
0.0994,4.1961,42.2,0.4172,7.8603,0.033,   0: 4:45,,99.73670299450183
0.0994,4.1959,42.2083,0.4171,7.9847,0.0336,   0: 4:49,,99.73245067962921
0.0995,4.1957,42.1688,0.4175,8.1091,0.0341,   0: 4:54,,99.72819408677383
0.0994,4.1955,42.2177,0.4169,8.2335,0.0346,   0: 4:58,,99.7239417719012
0.0993,4.1953,42.2364,0.4167,8.3584,0.0351,   0: 5: 3,,99.71969373501133
0.0994,4.1951,42.1968,0.4171,8.4827,0.0356,   0: 5: 7,,99.71544142013873
0.0994,4.1949,42.2018,0.417,8.607,0.0362,   0: 5:12,,99.7111891052661
0.0994,4.1948,42.2169,0.4168,8.7314,0.0367,   0: 5:16,,99.70693679039348
0.0993,4.1945,42.2284,0.4166,8.8564,0.0372,   0: 5:21,,99.70268875350362
0.0994,4.1944,42.196,0.4169,8.9807,0.0377,   0: 5:25,,99.698436438631
0.0994,4.1942,42.1973,0.4169,9.1052,0.0383,   0: 5:30,,99.69418412375839
0.0994,4.194,42.1988,0.4168,9.2295,0.0388,   0: 5:34,,99.68993180888577
0.0993,4.1938,42.2277,0.4165,9.3538,0.0393,   0: 5:39,,99.68568377199593
0.0994,4.1936,42.2088,0.4167,9.4781,0.0398,   0: 5:43,,99.6814314571233
0.0994,4.1934,42.2032,0.4167,9.6025,0.0403,   0: 5:48,,99.67717914225068
0.0994,4.1932,42.1944,0.4167,9.7269,0.0409,   0: 5:52,,99.67292682737805
0.0995,4.193,42.1521,0.4171,9.8519,0.0414,   0: 5:57,,99.66867023452266
0.0994,4.1929,42.1672,0.4169,9.9763,0.0419,   0: 6: 1,,99.66441791965005
0.0995,4.1927,42.1313,0.4172,10.1008,0.0424,   0: 6: 6,,99.66016132679466
0.0995,4.1925,42.1465,0.417,10.2257,0.043,   0: 6:10,,99.65590473393927
0.0995,4.1923,42.1208,0.4173,10.3503,0.0435,   0: 6:15,,99.65164814108387
0.0995,4.1921,42.146,0.417,10.4748,0.044,   0: 6:19,,99.64739154822848
0.0995,4.1919,42.1271,0.4171,10.5992,0.0445,   0: 6:24,,99.64313495537309
0.0995,4.1917,42.1288,0.4171,10.7237,0.045,   0: 6:28,,99.63887836251772
0.0995,4.1916,42.1101,0.4172,10.8483,0.0456,   0: 6:33,,99.63462176966232
0.0996,4.1914,42.0743,0.4175,10.9734,0.0461,   0: 6:37,,99.63036089882415
0.0995,4.1912,42.1027,0.4172,11.0979,0.0466,   0: 6:42,,99.62610430596878
0.0995,4.191,42.1214,0.417,11.223,0.0471,   0: 6:46,,99.62184771311338
0.0997,4.1908,42.0419,0.4178,11.3475,0.0477,   0: 6:51,,99.61758256429245
0.0995,4.1906,42.1077,0.4171,11.4722,0.0482,   0: 6:55,,99.61332597143705
0.0995,4.1905,42.123,0.4169,11.5967,0.0487,   0: 7: 0,,99.60906937858167
0.0995,4.1903,42.1142,0.4169,11.7212,0.0492,   0: 7: 4,,99.60481278572628
0.0995,4.1901,42.0992,0.417,11.8458,0.0497,   0: 7: 9,,99.6005561928709
0.0995,4.1899,42.1142,0.4169,11.9708,0.0503,   0: 7:13,,99.5962996000155
0.0995,4.1898,42.1226,0.4167,12.0963,0.0508,   0: 7:18,,99.59204300716011
0.0995,4.1896,42.0972,0.417,12.2208,0.0513,   0: 7:22,,99.58778641430472
0.0995,4.1894,42.1191,0.4167,12.3452,0.0518,   0: 7:27,,99.58352982144932
0.0995,4.1892,42.0902,0.417,12.4698,0.0524,   0: 7:31,,99.57927322859393
0.0995,4.1891,42.0919,0.4169,12.5949,0.0529,   0: 7:36,,99.57501663573855
0.0995,4.1889,42.1104,0.4167,12.7199,0.0534,   0: 7:40,,99.57076004288317
0.0995,4.1887,42.0984,0.4168,12.8443,0.0539,   0: 7:45,,99.56650345002778
0.0996,4.1885,42.0628,0.4171,12.9688,0.0545,   0: 7:49,,99.56224257918961
0.0995,4.1884,42.0849,0.4168,13.0938,0.055,   0: 7:54,,99.55798598633423
0.0995,4.1882,42.1032,0.4166,13.2183,0.0555,   0: 7:59,,99.55372939347883
0.0994,4.188,42.1152,0.4165,13.3427,0.056,   0: 8: 3,,99.5494770786062
0.0995,4.1878,42.0896,0.4167,13.4672,0.0565,   0: 8: 8,,99.54522048575083
0.0994,4.1877,42.1151,0.4164,13.5916,0.0571,   0: 8:12,,99.5409681708782
0.0994,4.1875,42.1203,0.4163,13.7162,0.0576,   0: 8:17,,99.53671585600559
0.0995,4.1873,42.1016,0.4165,13.8407,0.0581,   0: 8:21,,99.5324592631502
0.0995,4.1872,42.0863,0.4166,13.9657,0.0586,   0: 8:26,,99.5282026702948
0.0995,4.187,42.0744,0.4167,14.0908,0.0592,   0: 8:30,,99.5239460774394
0.0995,4.1869,42.0595,0.4168,14.2153,0.0597,   0: 8:35,,99.51968948458402
0.0995,4.1867,42.0778,0.4166,14.3399,0.0602,   0: 8:39,,99.51543289172862
0.0995,4.1865,42.0559,0.4168,14.4644,0.0607,   0: 8:44,,99.51117629887324
0.0996,4.1863,42.0303,0.417,14.5889,0.0612,   0: 8:48,,99.50691542803509
0.0995,4.1862,42.0526,0.4167,14.714,0.0618,   0: 8:53,,99.50265883517969
0.0996,4.186,42.0307,0.4169,14.8386,0.0623,   0: 8:57,,99.49839796434154
0.0996,4.1858,42.0186,0.417,14.9632,0.0628,   0: 9: 2,,99.49413709350338
0.0995,4.1857,42.0814,0.4163,15.0883,0.0633,   0: 9: 6,,99.48988050064798
0.0995,4.1855,42.049,0.4166,15.2129,0.0638,   0: 9:11,,99.48562390779259
0.0995,4.1853,42.0441,0.4166,15.3375,0.0644,   0: 9:15,,99.4813673149372
0.0995,4.1851,42.0489,0.4165,15.462,0.0649,   0: 9:20,,99.47711072208182
0.0995,4.185,42.0474,0.4165,15.5866,0.0654,   0: 9:24,,99.47285412922643
0.0996,4.1848,42.012,0.4169,15.7117,0.0659,   0: 9:29,,99.46859325838827
0.0996,4.1847,42.0275,0.4167,15.8372,0.0665,   0: 9:33,,99.4643323875501
